,country,suma_casos,suma_death,population,cons_taba,continent
0,Afghanistan,49273,1971,38041757.0,23.1,Asia
1,Albania,48530,1003,2862427.0,23.5,Europe
2,Algeria,92102,2596,43053054.0,21.7,Africa
3,Andorra,7338,79,76177.0,33.6,Europe
4,Argentina,1498160,40766,44780675.0,23.9,America
5,Armenia,148682,2503,2957728.0,22.9,Europe
6,Australia,28031,908,25203200.0,13.2,Oceania
7,Austria,320036,4400,8858775.0,23.7,Europe
8,Azerbaijan,175874,1922,10047719.0,19.6,Europe
9,Bahamas,7674,163,389486.0,10.8,America
10,Bahrain,89143,348,1641164.0,19.0,Asia
11,Bangladesh,490533,7052,163046173.0,32.3,Asia
12,Barbados,292,7,287021.0,6.6,America
13,Belarus,160295,1263,9452409.0,28.9,Europe
14,Belgium,608001,17951,11455519.0,25.2,Europe
15,Belize,9295,195,390351.0,9.0,America
16,Benin,3090,44,11801151.0,6.0,Africa
17,Bhutan,438,0,763094.0,20.7,Asia
18,Botswana,12501,37,2303703.0,18.8,Africa
19,Brazil,6901952,181402,211049519.0,13.0,America
20,Bulgaria,179449,5688,7000039.0,34.5,Europe
21,Burundi,729,1,11530577.0,10.8,Africa
22,Cambodia,359,0,16486542.0,17.2,Asia
23,Cameroon,25143,443,25876387.0,6.0,Africa
24,Canada,460743,13431,37411038.0,12.4,America
25,Chad,1770,102,15946882.0,7.1,Africa
26,Chile,571919,15886,18952035.0,29.5,America
27,China,91994,4739,1433783692.0,25.2,Asia
28,Colombia,1425774,39053,50339443.0,8.6,America
29,Comoros,628,7,850891.0,17.4,Africa
30,Congo,6049,99,5380504.0,14.5,Africa
31,Croatia,175886,2640,4076246.0,32.5,Europe
32,Cuba,9423,137,11333484.0,19.9,America
33,Cyprus,15101,78,875899.0,34.6,Europe
34,Czechia,581079,9609,10649800.0,28.0,Europe
35,Denmark,109758,941,5806081.0,17.5,Europe
36,Ecuador,202110,13875,17373657.0,10.3,America
37,Egypt,121575,6920,100388076.0,24.1,Africa
38,Estonia,18055,149,1324820.0,26.8,Europe
39,Eswatini,6768,127,1148133.0,8.8,Africa
40,Ethiopia,116769,1806,112078727.0,4.6,Africa
41,Fiji,46,2,889955.0,27.8,Oceania
42,Finland,30810,453,5517919.0,20.7,Europe
43,France,2376852,57911,67012883.0,29.3,Europe
44,Gambia,3782,123,2347696.0,10.2,Africa
45,Georgia,191063,1839,3996762.0,28.9,Europe
46,Germany,1337078,21975,83019213.0,19.9,Europe
47,Ghana,53014,327,30417858.0,3.2,Africa
48,Greece,124534,3625,10724599.0,31.1,Europe
49,Guatemala,129282,4423,17581476.0,12.2,America
