location,año,total_vaccinations_per_hundred
China,2020,0.11
China,2020,
China,2020,
China,2020,
China,2020,
China,2020,
China,2020,
China,2020,
China,2020,
China,2020,
China,2020,
China,2020,
China,2020,
China,2020,
China,2020,
China,2020,
China,2020,0.32
China,2021,
China,2021,
China,2021,
China,2021,
China,2021,
China,2021,
China,2021,
China,2021,
China,2021,0.63
China,2021,
China,2021,
China,2021,
China,2021,0.7
China,2021,
China,2021,
China,2021,
China,2021,
China,2021,
China,2021,
China,2021,1.05
China,2021,
China,2021,
China,2021,
China,2021,
China,2021,
China,2021,1.6
China,2021,
China,2021,
China,2021,
China,2021,
China,2021,1.68
China,2021,
China,2021,
China,2021,2.19
China,2021,
China,2021,
China,2021,
China,2021,
China,2021,
China,2021,2.84
China,2021,
China,2021,
China,2021,
China,2021,
China,2021,
China,2021,
China,2021,
China,2021,
China,2021,
China,2021,
China,2021,
China,2021,
China,2021,
China,2021,
China,2021,
China,2021,
China,2021,
China,2021,
China,2021,3.68
China,2021,
China,2021,
China,2021,
China,2021,
China,2021,
China,2021,
China,2021,
China,2021,
China,2021,
China,2021,
China,2021,
China,2021,
China,2021,
China,2021,4.56
China,2021,
China,2021,
China,2021,
China,2021,
China,2021,
China,2021,5.26
China,2021,
China,2021,5.64
China,2021,5.81
China,2021,6.02
China,2021,6.41
China,2021,6.84
China,2021,7.18
China,2021,7.48
China,2021,7.78
China,2021,8.04
China,2021,8.4
China,2021,8.88
China,2021,9.38
China,2021,9.59
China,2021,9.82
China,2021,10.01
China,2021,10.2
China,2021,10.45
China,2021,10.88
China,2021,11.3
China,2021,11.53
China,2021,11.74
China,2021,12.06
China,2021,12.32
China,2021,12.57
China,2021,12.87
China,2021,13.14
China,2021,13.31
China,2021,13.47
China,2021,13.68
China,2021,13.95
China,2021,14.32
China,2021,14.81
China,2021,15.15
China,2021,15.45
China,2021,15.77
China,2021,16.09
China,2021,16.55
China,2021,17.11
China,2021,17.78
China,2021,18.59
China,2021,18.96
China,2021,19.31
China,2021,19.63
China,2021,19.96
China,2021,20.31
China,2021,20.88
China,2021,21.62
China,2021,22.27
China,2021,22.74
China,2021,23.35
China,2021,24.03
China,2021,24.85
China,2021,25.73
China,2021,26.69
China,2021,27.56
China,2021,28.54
China,2021,29.59
China,2021,30.56
China,2021,31.53
China,2021,32.73
China,2021,33.9
China,2021,34.87
China,2021,35.83
China,2021,36.98
