location,date,total_vaccinations_per_hundred
China,15/12/2020,0.11
China,16/12/2020,
China,17/12/2020,
China,18/12/2020,
China,19/12/2020,
China,20/12/2020,
China,21/12/2020,
China,22/12/2020,
China,23/12/2020,
China,24/12/2020,
China,25/12/2020,
China,26/12/2020,
China,27/12/2020,
China,28/12/2020,
China,29/12/2020,
China,30/12/2020,
China,31/12/2020,0.32
China,01/01/2021,
China,02/01/2021,
China,03/01/2021,
China,04/01/2021,
China,05/01/2021,
China,06/01/2021,
China,07/01/2021,
China,08/01/2021,
China,09/01/2021,0.63
China,10/01/2021,
China,11/01/2021,
China,12/01/2021,
China,13/01/2021,0.7
China,14/01/2021,
China,15/01/2021,
China,16/01/2021,
China,17/01/2021,
China,18/01/2021,
China,19/01/2021,
China,20/01/2021,1.05
China,21/01/2021,
China,22/01/2021,
China,23/01/2021,
China,24/01/2021,
China,25/01/2021,
China,26/01/2021,1.6
China,27/01/2021,
China,28/01/2021,
China,29/01/2021,
China,30/01/2021,
China,31/01/2021,1.68
China,01/02/2021,
China,02/02/2021,
China,03/02/2021,2.19
China,04/02/2021,
China,05/02/2021,
China,06/02/2021,
China,07/02/2021,
China,08/02/2021,
China,09/02/2021,2.84
China,10/02/2021,
China,11/02/2021,
China,12/02/2021,
China,13/02/2021,
China,14/02/2021,
China,15/02/2021,
China,16/02/2021,
China,17/02/2021,
China,18/02/2021,
China,19/02/2021,
China,20/02/2021,
China,21/02/2021,
China,22/02/2021,
China,23/02/2021,
China,24/02/2021,
China,25/02/2021,
China,26/02/2021,
China,27/02/2021,
China,28/02/2021,3.68
China,01/03/2021,
China,02/03/2021,
China,03/03/2021,
China,04/03/2021,
China,05/03/2021,
China,06/03/2021,
China,07/03/2021,
China,08/03/2021,
China,09/03/2021,
China,10/03/2021,
China,11/03/2021,
China,12/03/2021,
China,13/03/2021,
China,14/03/2021,4.56
China,15/03/2021,
China,16/03/2021,
China,17/03/2021,
China,18/03/2021,
China,19/03/2021,
China,20/03/2021,5.26
China,21/03/2021,
China,22/03/2021,5.64
China,23/03/2021,5.81
China,24/03/2021,6.02
China,25/03/2021,6.41
China,26/03/2021,6.84
China,27/03/2021,7.18
China,28/03/2021,7.48
China,29/03/2021,7.78
China,30/03/2021,8.04
China,31/03/2021,8.4
China,01/04/2021,8.88
China,02/04/2021,9.38
China,03/04/2021,9.59
China,04/04/2021,9.82
China,05/04/2021,10.01
China,06/04/2021,10.2
China,07/04/2021,10.45
China,08/04/2021,10.88
China,09/04/2021,11.3
China,10/04/2021,11.53
China,11/04/2021,11.74
China,12/04/2021,12.06
China,13/04/2021,12.32
China,14/04/2021,12.57
China,15/04/2021,12.87
China,16/04/2021,13.14
China,17/04/2021,13.31
China,18/04/2021,13.47
China,19/04/2021,13.68
China,20/04/2021,13.95
China,21/04/2021,14.32
China,22/04/2021,14.81
China,23/04/2021,15.15
China,24/04/2021,15.45
China,25/04/2021,15.77
China,26/04/2021,16.09
China,27/04/2021,16.55
China,28/04/2021,17.11
China,29/04/2021,17.78
China,30/04/2021,18.59
China,01/05/2021,18.96
China,02/05/2021,19.31
China,03/05/2021,19.63
China,04/05/2021,19.96
China,05/05/2021,20.31
China,06/05/2021,20.88
China,07/05/2021,21.62
China,08/05/2021,22.27
China,09/05/2021,22.74
China,10/05/2021,23.35
China,11/05/2021,24.03
China,12/05/2021,24.85
China,13/05/2021,25.73
China,14/05/2021,26.69
China,15/05/2021,27.56
China,16/05/2021,28.54
China,17/05/2021,29.59
China,18/05/2021,30.56
China,19/05/2021,31.53
China,20/05/2021,32.73
China,21/05/2021,33.9
China,22/05/2021,34.87
China,23/05/2021,35.83
China,24/05/2021,36.98
China,25/05/2021,38.34
China,26/05/2021,39.75
China,27/05/2021,40.98
China,28/05/2021,42.29
China,29/05/2021,43.55
China,30/05/2021,44.83
China,31/05/2021,46.39
China,01/06/2021,47.82
China,02/06/2021,49.43
China,03/06/2021,50.74
China,04/06/2021,52.21
China,05/06/2021,53.52
China,06/06/2021,54.55
China,07/06/2021,55.69
China,08/06/2021,56.73
China,09/06/2021,57.85
China,10/06/2021,59.28
China,11/06/2021,60.56
China,12/06/2021,61.61
China,13/06/2021,62.61
China,14/06/2021,63.41
China,15/06/2021,64.8
China,16/06/2021,66.29
China,17/06/2021,67.79
China,18/06/2021,69.45
China,19/06/2021,70.87
China,20/06/2021,72.18
China,21/06/2021,73.62
China,22/06/2021,75.17
China,23/06/2021,76.86
China,24/06/2021,78.59
China,25/06/2021,80.22
China,26/06/2021,81.72
China,27/06/2021,83.16
China,28/06/2021,84.63
China,29/06/2021,85.96
China,30/06/2021,87.29
China,01/07/2021,88.66
China,02/07/2021,89.99
China,03/07/2021,90.89
China,04/07/2021,91.56
China,05/07/2021,92.46
China,06/07/2021,93.39
China,07/07/2021,94.14
China,08/07/2021,94.97
China,09/07/2021,95.76
China,10/07/2021,96.37
China,11/07/2021,96.96
China,12/07/2021,97.58
China,13/07/2021,98.33
China,14/07/2021,99.21
China,15/07/2021,100.03
China,16/07/2021,100.82
China,17/07/2021,101.51
China,18/07/2021,102.15
China,19/07/2021,102.91
China,20/07/2021,103.69
China,21/07/2021,104.61
China,22/07/2021,105.73
China,23/07/2021,106.94
China,24/07/2021,107.91
China,25/07/2021,108.72
China,26/07/2021,109.82
China,27/07/2021,111.04
China,28/07/2021,112.3
China,29/07/2021,113.56
China,30/07/2021,114.83
China,31/07/2021,115.92
China,01/08/2021,117.09
China,02/08/2021,118.43
China,03/08/2021,119.81
China,04/08/2021,121.06
China,05/08/2021,122.16
China,06/08/2021,123.28
China,07/08/2021,124.15
China,08/08/2021,125.01
China,09/08/2021,125.89
China,10/08/2021,126.8
China,11/08/2021,127.66
China,12/08/2021,128.51
China,13/08/2021,129.35
China,14/08/2021,130.01
China,15/08/2021,130.65
China,16/08/2021,131.52
China,17/08/2021,132.36
China,18/08/2021,133.26
China,19/08/2021,134.12
China,20/08/2021,134.96
China,21/08/2021,135.77
China,22/08/2021,136.54
China,23/08/2021,137.59
China,24/08/2021,138.56
China,25/08/2021,139.45
China,26/08/2021,140.54
China,27/08/2021,141.63
China,28/08/2021,142.57
China,29/08/2021,143.39
China,30/08/2021,144.19
China,31/08/2021,145.0
China,01/09/2021,145.62
China,02/09/2021,146.2
China,03/09/2021,146.73
China,04/09/2021,147.3
China,05/09/2021,147.8
China,06/09/2021,148.19
China,07/09/2021,148.61
China,08/09/2021,149.0
